"idhod","hodnota","stapro_kod","mj_cis","mj_kod","typosoby_kod","odvetvi_cis","odvetvi_kod","rok","ctvrtletí","uzemi_cis","uzemi_kod","stapro_txt","mj_txt","typosoby_txt","odvetvi_txt"
"741372911","65.2","316","78","80403","100","5103","K","2003","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Peněžnictví a pojišťovnictví"
"741373241","114.8","316","78","80403","100","5103","N","2003","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Administrativní a podpůrné činnosti"
"741372141","45","316","78","80403","100","5103","D","2003","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
"741373461","282.8","316","78","80403","100","5103","P","2003","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Vzdělávání"
"741373791","34.7","316","78","80403","100","5103","S","2003","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Ostatní činnosti"
"741372251","53.6","316","78","80403","100","5103","E","2003","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zásobování vodou; činnosti související s odpady a sanacemi"
"741372361","259.6","316","78","80403","100","5103","F","2003","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Stavebnictví"
"741381335","105.6","316","78","80403","200","5103","N","2003","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Administrativní a podpůrné činnosti"
"741372471","461.3","316","78","80403","100","5103","G","2003","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
"741380345","52.2","316","78","80403","200","5103","E","2003","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zásobování vodou; činnosti související s odpady a sanacemi"
"741380455","257.1","316","78","80403","200","5103","F","2003","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Stavebnictví"
"741381555","263.6","316","78","80403","200","5103","P","2003","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Vzdělávání"
"741381445","300.5","316","78","80403","200","5103","O","2003","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Veřejná správa a obrana; povinné sociální zabezpečení"
"741380785","117.4","316","78","80403","200","5103","I","2003","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Ubytování, stravování a pohostinství"
"741381775","49.4","316","78","80403","200","5103","R","2003","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Kulturní, zábavní a rekreační činnosti"
"741379905","154.9","316","78","80403","200","5103","A","2003","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zemědělství, lesnictví, rybářství"
"786862408","3846.4","316","78","80403","200",,,"2003","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený",
"786862420","3969.2","316","78","80403","100",,,"2003","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický",
"741373562","249.7","316","78","80403","100","5103","Q","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zdravotní a sociální péče"
"741372572","273.7","316","78","80403","100","5103","H","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Doprava a skladování"
"741380556","424.5","316","78","80403","200","5103","G","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
"741381656","237","316","78","80403","200","5103","Q","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zdravotní a sociální péče"
"741380666","269.4","316","78","80403","200","5103","H","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Doprava a skladování"
"741372682","112.3","316","78","80403","100","5103","I","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Ubytování, stravování a pohostinství"
"741379896","157.7","316","78","80403","200","5103","A","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zemědělství, lesnictví, rybářství"
"741380886","77.4","316","78","80403","200","5103","J","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Informační a komunikační činnosti"
"741381876","29.9","316","78","80403","200","5103","S","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Ostatní činnosti"
"741371802","162.7","316","78","80403","100","5103","A","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zemědělství, lesnictví, rybářství"
"741371912","54.6","316","78","80403","100","5103","B","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Těžba a dobývání"
"741380116","1196.3","316","78","80403","200","5103","C","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zpracovatelský průmysl"
"741381106","41.9","316","78","80403","200","5103","L","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Činnosti v oblasti nemovitostí"
"741381216","117.7","316","78","80403","200","5103","M","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Profesní, vědecké a technické činnosti"
"741380226","47","316","78","80403","200","5103","D","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
"741380006","54.5","316","78","80403","200","5103","B","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Těžba a dobývání"
"741380996","66.4","316","78","80403","200","5103","K","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Peněžnictví a pojišťovnictví"
"741372022","1212.4","316","78","80403","100","5103","C","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zpracovatelský průmysl"
"741373672","51.8","316","78","80403","100","5103","R","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Kulturní, zábavní a rekreační činnosti"
"741373012","46.1","316","78","80403","100","5103","L","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Činnosti v oblasti nemovitostí"
"741373122","126","316","78","80403","100","5103","M","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Profesní, vědecké a technické činnosti"
"741373342","295.5","316","78","80403","100","5103","O","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Veřejná správa a obrana; povinné sociální zabezpečení"
"741372132","48","316","78","80403","100","5103","D","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
"741372792","79.3","316","78","80403","100","5103","J","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Informační a komunikační činnosti"
"741372902","67.2","316","78","80403","100","5103","K","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Peněžnictví a pojišťovnictví"
"741373232","98.5","316","78","80403","100","5103","N","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Administrativní a podpůrné činnosti"
"741373452","293.1","316","78","80403","100","5103","P","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Vzdělávání"
"741373782","33.2","316","78","80403","100","5103","S","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Ostatní činnosti"
"741372242","51.8","316","78","80403","100","5103","E","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zásobování vodou; činnosti související s odpady a sanacemi"
"741372352","242.2","316","78","80403","100","5103","F","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Stavebnictví"
"741380336","50.2","316","78","80403","200","5103","E","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zásobování vodou; činnosti související s odpady a sanacemi"
"741381326","89.9","316","78","80403","200","5103","N","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Administrativní a podpůrné činnosti"
"741372462","444.9","316","78","80403","100","5103","G","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
"741380446","239.5","316","78","80403","200","5103","F","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Stavebnictví"
"741381546","268.7","316","78","80403","200","5103","P","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Vzdělávání"
"741381436","288.7","316","78","80403","200","5103","O","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Veřejná správa a obrana; povinné sociální zabezpečení"
"741380776","106","316","78","80403","200","5103","I","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Ubytování, stravování a pohostinství"
"741381766","47.2","316","78","80403","200","5103","R","2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Kulturní, zábavní a rekreační činnosti"
"786862228","3942.9","316","78","80403","100",,,"2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický",
"786862216","3809.9","316","78","80403","200",,,"2002","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený",
"741373590","263.7","316","78","80403","100","5103","Q","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zdravotní a sociální péče"
"741372600","271.5","316","78","80403","100","5103","H","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Doprava a skladování"
"741381794","50.4","316","78","80403","200","5103","R","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Kulturní, zábavní a rekreační činnosti"
"741372710","123.4","316","78","80403","100","5103","I","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Ubytování, stravování a pohostinství"
"741380804","117.4","316","78","80403","200","5103","I","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Ubytování, stravování a pohostinství"
"741371830","130.4","316","78","80403","100","5103","A","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zemědělství, lesnictví, rybářství"
"741380144","1177","316","78","80403","200","5103","C","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zpracovatelský průmysl"
"741381134","40.1","316","78","80403","200","5103","L","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Činnosti v oblasti nemovitostí"
"741371940","44.5","316","78","80403","100","5103","B","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Těžba a dobývání"
"741380254","37.1","316","78","80403","200","5103","D","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
"741381244","125.3","316","78","80403","200","5103","M","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Profesní, vědecké a technické činnosti"
"741380914","80.9","316","78","80403","200","5103","J","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Informační a komunikační činnosti"
"741372050","1189","316","78","80403","100","5103","C","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zpracovatelský průmysl"
"741381024","62.1","316","78","80403","200","5103","K","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Peněžnictví a pojišťovnictví"
"741380034","44.4","316","78","80403","200","5103","B","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Těžba a dobývání"
"741373700","54.7","316","78","80403","100","5103","R","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Kulturní, zábavní a rekreační činnosti"
"741373040","44","316","78","80403","100","5103","L","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Činnosti v oblasti nemovitostí"
"741373150","133.6","316","78","80403","100","5103","M","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Profesní, vědecké a technické činnosti"
"741373370","294.3","316","78","80403","100","5103","O","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Veřejná správa a obrana; povinné sociální zabezpečení"
"741372820","82.9","316","78","80403","100","5103","J","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Informační a komunikační činnosti"
"741372930","63.1","316","78","80403","100","5103","K","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Peněžnictví a pojišťovnictví"
"741373810","40","316","78","80403","100","5103","S","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Ostatní činnosti"
"741372160","37.8","316","78","80403","100","5103","D","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
"741373260","136.3","316","78","80403","100","5103","N","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Administrativní a podpůrné činnosti"
"741373480","299","316","78","80403","100","5103","P","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Vzdělávání"
"741372270","52.5","316","78","80403","100","5103","E","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zásobování vodou; činnosti související s odpady a sanacemi"
"741372380","253.7","316","78","80403","100","5103","F","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Stavebnictví"
"741381354","126.6","316","78","80403","200","5103","N","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Administrativní a podpůrné činnosti"
"741380364","51.1","316","78","80403","200","5103","E","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zásobování vodou; činnosti související s odpady a sanacemi"
"741380584","468.7","316","78","80403","200","5103","G","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
"741381574","270.9","316","78","80403","200","5103","P","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Vzdělávání"
"741372490","487.8","316","78","80403","100","5103","G","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
"741381464","288.9","316","78","80403","200","5103","O","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Veřejná správa a obrana; povinné sociální zabezpečení"
"741380474","250.7","316","78","80403","200","5103","F","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Stavebnictví"
"741380694","267.8","316","78","80403","200","5103","H","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Doprava a skladování"
"741381684","249.7","316","78","80403","200","5103","Q","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zdravotní a sociální péče"
"741379924","126.8","316","78","80403","200","5103","A","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zemědělství, lesnictví, rybářství"
"741381904","36.4","316","78","80403","200","5103","S","2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Ostatní činnosti"
"786862792","3872.6","316","78","80403","200",,,"2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený",
"786862804","4002.1","316","78","80403","100",,,"2006","1","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický",
"741373564","253.6","316","78","80403","100","5103","Q","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zdravotní a sociální péče"
"741372574","275.8","316","78","80403","100","5103","H","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Doprava a skladování"
"741380558","435.3","316","78","80403","200","5103","G","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
"741381658","240.9","316","78","80403","200","5103","Q","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zdravotní a sociální péče"
"741380668","271.3","316","78","80403","200","5103","H","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Doprava a skladování"
"741372684","118.7","316","78","80403","100","5103","I","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Ubytování, stravování a pohostinství"
"741379898","164.5","316","78","80403","200","5103","A","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zemědělství, lesnictví, rybářství"
"741380888","76.6","316","78","80403","200","5103","J","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Informační a komunikační činnosti"
"741381878","30.3","316","78","80403","200","5103","S","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Ostatní činnosti"
"741371804","169.9","316","78","80403","100","5103","A","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zemědělství, lesnictví, rybářství"
"741371914","53.3","316","78","80403","100","5103","B","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Těžba a dobývání"
"741380118","1198.5","316","78","80403","200","5103","C","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zpracovatelský průmysl"
"741381108","40.7","316","78","80403","200","5103","L","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Činnosti v oblasti nemovitostí"
"741381218","118.5","316","78","80403","200","5103","M","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Profesní, vědecké a technické činnosti"
"741380228","45.8","316","78","80403","200","5103","D","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
"741380008","53.2","316","78","80403","200","5103","B","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Těžba a dobývání"
"741380998","65.3","316","78","80403","200","5103","K","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Peněžnictví a pojišťovnictví"
"741372024","1215.8","316","78","80403","100","5103","C","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zpracovatelský průmysl"
"741373674","52.8","316","78","80403","100","5103","R","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Kulturní, zábavní a rekreační činnosti"
"741373014","45","316","78","80403","100","5103","L","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Činnosti v oblasti nemovitostí"
"741373124","127.3","316","78","80403","100","5103","M","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Profesní, vědecké a technické činnosti"
"741373344","299.8","316","78","80403","100","5103","O","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Veřejná správa a obrana; povinné sociální zabezpečení"
"741372794","78.7","316","78","80403","100","5103","J","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Informační a komunikační činnosti"
"741372904","66.1","316","78","80403","100","5103","K","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Peněžnictví a pojišťovnictví"
"741373234","103.3","316","78","80403","100","5103","N","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Administrativní a podpůrné činnosti"
"741373454","272","316","78","80403","100","5103","P","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Vzdělávání"
"741372134","46.6","316","78","80403","100","5103","D","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
"741373784","33.6","316","78","80403","100","5103","S","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Ostatní činnosti"
"741372244","53.3","316","78","80403","100","5103","E","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zásobování vodou; činnosti související s odpady a sanacemi"
"741372354","257.2","316","78","80403","100","5103","F","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Stavebnictví"
"741380338","51.7","316","78","80403","200","5103","E","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zásobování vodou; činnosti související s odpady a sanacemi"
"741381328","94.1","316","78","80403","200","5103","N","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Administrativní a podpůrné činnosti"
"741372464","456.1","316","78","80403","100","5103","G","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
"741380448","254.3","316","78","80403","200","5103","F","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Stavebnictví"
"741381548","253.1","316","78","80403","200","5103","P","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Vzdělávání"
"741381438","293.5","316","78","80403","200","5103","O","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Veřejná správa a obrana; povinné sociální zabezpečení"
"741380778","110.4","316","78","80403","200","5103","I","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Ubytování, stravování a pohostinství"
"741381768","48.1","316","78","80403","200","5103","R","2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Kulturní, zábavní a rekreační činnosti"
"786862264","3846.1","316","78","80403","200",,,"2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený",
"786862276","3978.9","316","78","80403","100",,,"2002","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický",
"741373579","263.5","316","78","80403","100","5103","Q","2004","4","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zdravotní a sociální péče"
"741372589","276.3","316","78","80403","100","5103","H","2004","4","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Doprava a skladování"
